dealerCard1;Blackjack;Bust;17;18;19;20;21;;
2;0.000;0.357;0.130;0.137;0.131;0.126;0.120;;
3;0.000;0.377;0.126;0.132;0.127;0.122;0.116;;
4;0.000;0.397;0.122;0.127;0.123;0.118;0.113;;
5;0.000;0.418;0.118;0.123;0.118;0.114;0.109;;
6;0.000;0.440;0.115;0.115;0.115;0.110;0.106;;
7;0.000;0.262;0.369;0.138;0.079;0.079;0.074;;
8;0.000;0.245;0.129;0.359;0.129;0.069;0.069;;
9;0.000;0.228;0.120;0.120;0.351;0.120;0.061;;
10-K;0.071;0.213;0.112;0.112;0.112;0.344;0.035;;
A;0.235;0.153;0.063;0.158;0.158;0.158;0.073;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
